Debt	Spread	GDPac	GDPstd	TBstd	Rstd	Cstd	R&GDP	TB&GDP	L&GDP	IM&GDP	TB&R	L&R	IM&R	D&GDP	Dlow	Drec	Dfreq	GDPdrop
22.28	0.55	0.71	4.60	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.03	-0.11	99.51	50.39	0.13	-14.53	
22.28	0.55	0.71	4.60	0.85	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.04	-0.11	99.31	46.44	0.13	-14.50	
22.28	0.55	0.71	4.59	0.85	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.03	-0.11	99.31	49.50	0.13	-14.60	
22.28	0.55	0.71	4.59	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.01	0.04	-0.04	-0.11	99.39	49.70	0.12	-14.56	
22.28	0.55	0.71	4.61	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.01	0.04	-0.03	-0.11	99.30	46.75	0.12	-14.51	
22.28	0.55	0.71	4.60	0.85	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.04	-0.11	98.84	48.70	0.13	-14.60	
22.28	0.55	0.71	4.61	0.85	0.51	1.07	-0.03	-0.32	0.56	0.96	0.01	0.05	-0.03	-0.11	99.71	51.12	0.13	-14.59	
22.28	0.55	0.71	4.60	0.86	0.51	1.07	-0.03	-0.32	0.55	0.96	0.02	0.05	-0.03	-0.11	98.96	49.34	0.13	-14.50	
22.28	0.55	0.71	4.61	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.04	-0.11	99.42	45.99	0.13	-14.50	
22.28	0.55	0.71	4.60	0.86	0.51	1.07	-0.03	-0.32	0.55	0.95	0.02	0.05	-0.03	-0.11	99.18	46.57	0.14	-14.58	
22.28	0.55	0.71	4.61	0.85	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.03	-0.11	99.10	48.75	0.12	-14.59	
22.28	0.55	0.71	4.61	0.85	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.04	-0.11	99.31	48.48	0.13	-14.53	
22.28	0.54	0.71	4.61	0.86	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.03	-0.11	99.62	45.61	0.13	-14.56	
22.28	0.55	0.71	4.61	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.01	0.04	-0.04	-0.11	99.17	48.71	0.12	-14.51	
22.28	0.55	0.71	4.61	0.86	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.03	-0.11	99.54	46.23	0.13	-14.56	
22.28	0.55	0.71	4.60	0.85	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.03	-0.11	99.43	49.29	0.13	-14.58	
22.28	0.55	0.71	4.62	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.04	-0.10	99.10	44.34	0.13	-14.54	
22.28	0.55	0.71	4.61	0.85	0.51	1.07	-0.03	-0.32	0.56	0.96	0.01	0.05	-0.03	-0.11	99.23	48.37	0.13	-14.54	
22.28	0.55	0.71	4.61	0.85	0.50	1.07	-0.02	-0.32	0.56	0.96	0.01	0.05	-0.03	-0.11	98.48	47.05	0.12	-14.57	
22.28	0.55	0.71	4.61	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.03	-0.11	99.52	48.00	0.13	-14.53	
22.28	0.55	0.71	4.60	0.86	0.51	1.07	-0.03	-0.32	0.55	0.95	0.02	0.04	-0.04	-0.11	99.28	47.29	0.14	-14.53	
